,id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,T
119036,119038,,,,Gl 596B,,,15.717741,26.264843,33.3333,147.45,-103.24,0.0,13.5,10.886,m,,-16.816264,-24.713142,14.750685999999998,1.554e-05,-1.951e-05,-1.496e-05,4.1148948528885985,0.45840799219059997,7.148577719791666e-07,-5.00536188e-07,,,,2,119037,Gl 596,0.0038512348242893133,,,,
119037,119039,,,,Gl 596.1B,,,15.73386,2.5130939999999997,14.6714,-55.77,-149.97,0.0,12.0,11.168,,,-8.194576,-12.152574000000001,0.643307,-3.55e-06,1.83e-06,-1.066e-05,4.119114978970518,0.04386175845819999,-2.703805896458333e-07,-7.27050836e-07,,,Ser,2,76816,Gl 596.1,0.0029702978440178628,,,,
119038,119040,,,,NN 3915,,,15.800445000000002,-58.185765,22.2222,-535.15,-248.41,0.0,11.65,9.916,M2-3,,-6.3803410000000005,-9.824867,-18.883575,-3.598e-05,5.046e-05,-1.411e-05,4.136546801979425,-1.0155331815256,-2.594480411493056e-06,-1.204330512e-06,,,Nor,1,119040,,0.009410224835267508,,,,
119039,119041,,,,Gl 599B,,,15.791452,-37.918439,15.2439,-405.78,-216.66,1.0,12.78,11.865,DA7,0.33,-6.572508,-10.070783,-9.368003999999999,-2.018e-05,2.395e-05,-1.326e-05,4.1341925381523525,-0.6618016150780001,-1.967276952958333e-06,-1.05042156e-06,,,,2,77121,Gl 599,0.0015631476426409526,,,,7276.378482352381
119040,119042,,,,NN 3918,,,15.836433999999999,0.957751,17.8571,179.01,-18.82,0.0,12.45,11.190999999999999,m,,-9.581046,-15.066204,0.298484,1.306e-05,-8.34e-06,-1.63e-06,4.145968703248478,0.01671591611535,8.678649695625e-07,-9.121769300000003e-08,,,,1,119042,,0.0029080374827353123,,,,
119041,119043,,,,NN 3919,,,15.827335,34.81599,17.6678,-629.49,684.57,0.0,13.16,11.924000000000001,m,1.64,-7.813186,-12.220952,10.087301,-2.741e-05,5.723e-05,4.814e-05,4.1435865043181135,0.6076536524506,-3.051853637729167e-06,3.318889012e-06,,,,1,119043,,0.001480471324897625,,,,3594.399505081432
119042,119044,,,,NN 3923,,,15.856073,29.516877,17.2414,-222.32,-447.86,0.0,13.01,11.827,M7,1.58,-7.986084,-12.701653,8.494491,-2.555e-05,-5.73e-06,-3.257e-05,4.15111014611127,0.51516668888455,-1.0778377746111107e-06,-2.171262309e-06,,,,1,119044,,0.001618825362642105,,,,3677.014628784035
119043,119045,,,,NN 3925A,,,15.885024,34.753129,20.5339,265.49,-493.07,0.0,11.75,10.187999999999999,M3,1.51,-8.871193,-14.350323999999999,11.705178,7.76e-06,-3.77e-05,-4.032e-05,4.158689505592025,0.6065565181865,1.2871318405069444e-06,-2.39045627e-06,,,CrB,1,119045,NN 3925,0.0073248713266503875,,,,3778.5271011150085
119044,119046,,,,NN 3926B,,,15.885027,34.744795,20.5339,265.49,-493.07,0.0,13.18,11.618,m,1.53,-8.872075,-14.351779,11.702722999999999,7.76e-06,-3.769e-05,-4.033e-05,4.158690394592027,0.6064110741865,1.2871318405069444e-06,-2.39045627e-06,,,,2,119046,NN 3926,0.0019624563241736896,,,,3748.9340370997115
119045,119047,,,,NN 3927,,,15.917976999999999,33.846944,23.753,419.88,-483.01,0.0,15.95,14.071,m,1.76,-10.227986999999999,-16.86903,13.229857999999998,2.527e-05,-5.156e-05,-4.619e-05,4.1673165117840965,0.5907406201025001,2.0356356819166665e-06,-2.3417179500000005e-06,,,,1,119047,,0.00020492738583802452,,,,3440.1812236939286
119046,119048,,,,NN 3928,,,15.925444,35.199694,10.8696,-207.65,156.47,0.0,13.68,13.499,m,,-4.590406,-7.603905,6.265541000000001,-6.91e-06,9.72e-06,6.74e-06,4.169271423219617,0.6143505496406999,-1.0067156076736112e-06,7.58592814e-07,,,,1,119048,,0.0003470563540079872,,,,
119047,119049,,,,NN 3929,,,15.971988,35.406426,16.3934,-158.9,311.85,0.0,12.69,11.617,M6  :,1.59,-6.765607000000001,-11.522165,9.497887,-3.62e-06,1.877e-05,2.02e-05,4.18145660455308,0.61795871505795,-7.703689384027778e-07,1.511901159e-06,,,,1,119049,,0.001964264645879852,,,,3662.9728797773446
119048,119050,,,,NN 3932,,,15.997418,14.99644,25.0,-413.63,-731.1,0.0,13.99,12.0,m,1.58,-12.088483,-20.905047,6.4689760000000005,-5.488e-05,5.23e-06,-8.558e-05,4.188114186258654,0.26173725184389995,-2.0053348268819447e-06,-3.5444631220000004e-06,,,,1,119050,,0.0013803842646028838,,,,3677.014628784035
119050,119052,,,,NN 3933,,,16.014289,40.327874,21.2766,-285.23,-265.98,0.0,13.12,11.48,m,,-8.057844000000001,-14.077252,13.769379999999998,-3.435e-05,-8e-07,-2.091e-05,4.192531052296947,0.70385418687105,-1.3828340610486113e-06,-1.2895025790000002e-06,,,,1,119052,,0.0022284351492703014,,,,
